paper       | Repo                                                                                                                        | page | Placement      | Context                                                                                                                                                                                  | notes                          |
nime2025_9  | https://github.com/BelaPlatform/pybela                                                                                      | 1    | footnote       | Along with the library2 and its documentation3, [introduction]                                                                                                                           |                                |
nime2025_10 | http://fcaspe.github.io/BravePlugin                                                                                         | 1    | footnote       | We then introduce an audio plugin 2                                                                                                                                                      | page links to source           |
nime2025_14 | https://github.com/nbrochec/nime2025                                                                                        | 3    | footnote       | The code for all the evaluations discussed in this paper is available on GitHub5                                                                                                         |                                |
nime2025_15 | https://github.com/lewiswolf/drum-modal-feedback                                                                            | 4    | footnote       | The source code for this work: [in footnote]                                                                                                                                             |                                |
nime2025_16 | https://NIME2025OrganPerformance.github.io                                                                                  | last | body           | Lastly, a collection of recordings, demos, and source code is available at                                                                                                               | page links to source           |
nime2025_21 | https://www.alternatural.nz/conference-media                                                                                | 1    | footnote       | Further information about the project – including synthesiser access – can be found here: [in footnote]                                                                                  | page links to source           |
nime2025_32 | https://vault.oddworlds.org/s/634PXnGcoQmqStL                                                                               | 1    | footnote       | Weopen-sourcedsuchmodels,andtheyarenowreadytoreuse .                                                                                                                                     |                                |
nime2025_36 | https://github.com/victor-shepardson/living-looper                                                                          | 2    | footnote       | Any nn∼ [2] model which follows the same encoder-decoder API as RAVE can be packaged into a Living Looper instance using the Python CLI                                                  |                                |
nime2025_37 | https://brittneyjuliet.github.io/material-culture/                                                                          | 2    | footnote       | For more information on the technical aspects of the instrument, please visit the                                                                                                        | page links to source           |
nime2025_39 | https://github.com/linneakirby/HAND                                                                                         | last | appendix       |                                                                                                                                                                                          |                                |
nime2025_40 | https://github.com/johnalettang/aquapella                                                                                   | 1    | body           | A Github repository with all components, code, and housing are available at                                                                                                              |                                |
nime2025_42 | https://github.com/JohnMBowers/MisUsersManualZine)                                                                          | 6    | body           | we provide access to a zine at the conference, giving further illustrations of related work and deepening our invitation (zine archived at:                                              |                                |
nime2025_48 | https://github.com/mayacaren/ViVo.git                                                                                       | 2    | footnote       | All code and design files are open-source and publicly available.1                                                                                                                       |                                |
nime2025_57 | https://github.com/DocSunset/sygaldry/tree/c6080345fd40bcff95dd1c62159c5034a7022e2e/sygaldry-instruments/continulodica_pico | 2    | footnote       | The current version of the firmware can be viewed online2;                                                                                                                               | subdirectory of larger project |
nime2025_58 | https://github.com/algomusic/Max-Silence-Noise                                                                              | 1    | footnote       | A version of the MSN software as a Pure Data patch is available for download from GitHub:                                                                                                |                                |
nime2025_59 | https://doi.org/10.5281/zenodo.15279103                                                                                     | last | appendix       |                                                                                                                                                                                          | zenodo archiveof a git repo    |
nime2025_61 | https://github.com/Nemus-Project/harpsichord-interface-firmware                                                             | 5    | body           |                                                                                                                                                                                          | 1 of 3                         |
nime2025_62 | https://github.com/MetaBow/MetaBoard                                                                                        | last | references     | It collects and processes IMU data using both native and custom fusion algorithms [2].                                                                                                   |                                |
nime2025_64 | https://github.com/HybridInstrumentsLab/PanMan                                                                              | 2    | body           | We made the 3d-files open-source – it can be printed and assembled for use in many other possible ways (i.e. as a pitchbend/modulation controller). The 3d files can be downloaded from: |                                |
nime2025_65 | https://github.com/yannseznec/ys.granular                                                                                   | 1    | footnote       | The code is fully open source and available for download and use at                                                                                                                      |                                |
nime2025_67 | https://sites.google.com/view/sonicolour-sc-1                                                                               | 2    | footnote       | The instrument’s firmware and sound generation utilises many existing libraries, explained on the com- panion website, which also provides all instrument designs and 4                  | link to repo on site           |
nime2025_69 | https://github.com/arililoia-cmu/elbs_nime                                                                                  | 1    | body           |                                                                                                                                                                                          |                                |
nime2025_72 | https://github.com/francesco-di-maggio/embedded-comparo                                                                     | last | footnote       | All materials, including test patches and comprehensive step- by-step documentation, are publicly available in our online repos- 30 itory                                                |                                |
nime2025_73 | https://github.com/MINNE-WU/Gesture-Driven-Erhu                                                                             | 3    | footnote       | This dataset will be made available to researchers and artists alike                                                                                                                     |                                |
nime2025_75 | https://github.com/moewe-audio/NEMO-acoustic-digital-hybrid-instrument                                                      | last | appendix       | The source code and other relevant design files can be found at:                                                                                                                         |                                |
nime2025_81 | https://github.com/CSCPadova/MTR- template                                                                                  | 6    | body;reference | The template can be found at the following link: https://github.com/ CSCPadova/MTR-template [2].                                                                                         |                                |
nime2025_84 | https://github.com/mitmedialab/ai-harmonizer-nime2025                                                                       | 1    | footnote       | 1 Our implementation is available at                                                                                                                                                     |                                |
nime2025_90 | https://github.com/ccrma/chump                                                                                              | 3    | footnote       | Quickly afterwards, we created a Github repo titled simply“chump,”8                                                                                                                      |                                |
nime2025_93 | https://github.com/matthewcaren/tiny-harmonizer                                                                             | last | footnote       | Source code for the non-ML harmonizer layer is open source and publicly available.1                                                                                                      |                                |
